Feature,Mutual_Information
CpuTier,0.5027850765552702
TypeName,0.3133283844002892
Company,0.1580589972198787
OpSys,0.11272368692384038
GpuBrand,0.1020521335957536
GpuTier,0.09962741287488108
CpuBrand,0.03551785023466114
