Model,MAE,RMSE,MAPE (%),R2 Score,Adjusted R2
Gradient Boosting,197.33116980108974,318.75667966991864,18.84444928805396,0.7999596085659251,0.787712237661798
Random Forest,221.43937225521822,399.2737271568736,20.70069211991147,0.6861366724827148,0.6669205503898198
Decision Tree,247.0570538774598,396.44847771064445,22.198000458133222,0.6905627333577288,0.6716175945837122
Ridge Regression,245.3293364163861,361.3951580696513,24.73801629542841,0.7428634774763232,0.7271204250769144
ElasticNet,245.35048430487765,361.3388016185925,24.75907721236343,0.7429436676594335,0.7272055248630723
Lasso Regression,245.35545413003408,361.3310404897016,24.762660360865244,0.7429547100711145,0.7272172433407745
Linear Regression,245.3555270904956,361.33094637924114,24.7627417210037,0.7429548439685367,0.7272173854359982
Extra Trees,252.12359808092828,420.99421495662483,25.270710737922336,0.6510595127746894,0.6296958094751806
